week,state,state_name,disease,cases,incidence_per_capita,LastDayWeek,MonthMax,Year,MonthName
196801,AK,ALASKA,MUMPS,7,2.46,1968-01-06,1,1968,January
196801,AL,ALABAMA,MUMPS,39,1.13,1968-01-06,1,1968,January
196801,AZ,ARIZONA,MUMPS,19,1.13,1968-01-06,1,1968,January
196801,CA,CALIFORNIA,MUMPS,247,1.27,1968-01-06,1,1968,January
196801,DC,DISTRICT OF COLUMBIA,MUMPS,1,0.13,1968-01-06,1,1968,January
196801,DE,DELAWARE,MUMPS,9,1.69,1968-01-06,1,1968,January
196801,FL,FLORIDA,MUMPS,36,0.56,1968-01-06,1,1968,January
196801,HI,HAWAII,MUMPS,13,1.77,1968-01-06,1,1968,January
196801,IA,IOWA,MUMPS,351,12.52,1968-01-06,1,1968,January
196801,ID,IDAHO,MUMPS,3,0.43,1968-01-06,1,1968,January
196801,IL,ILLINOIS,MUMPS,72,0.65,1968-01-06,1,1968,January
196801,IN,INDIANA,MUMPS,57,1.12,1968-01-06,1,1968,January
196801,KY,KENTUCKY,MUMPS,107,3.35,1968-01-06,1,1968,January
196801,MA,MASSACHUSETTS,MUMPS,212,3.77,1968-01-06,1,1968,January
196801,MD,MARYLAND,MUMPS,8,0.21,1968-01-06,1,1968,January
196801,ME,MAINE,MUMPS,25,2.52,1968-01-06,1,1968,January
196801,MI,MICHIGAN,MUMPS,176,2.02,1968-01-06,1,1968,January
196801,MN,MINNESOTA,MUMPS,2,0.05,1968-01-06,1,1968,January
196801,MO,MISSOURI,MUMPS,12,0.26,1968-01-06,1,1968,January
196801,MS,MISSISSIPPI,MUMPS,10,0.45,1968-01-06,1,1968,January
196801,MT,MONTANA,MUMPS,3,0.43,1968-01-06,1,1968,January
196801,ND,NORTH DAKOTA,MUMPS,37,5.96,1968-01-06,1,1968,January
196801,NE,NEBRASKA,MUMPS,15,1.02,1968-01-06,1,1968,January
196801,NJ,NEW JERSEY,MUMPS,195,2.78,1968-01-06,1,1968,January
196801,NM,NEW MEXICO,MUMPS,5,0.5,1968-01-06,1,1968,January
196801,OH,OHIO,MUMPS,152,1.45,1968-01-06,1,1968,January
196801,OK,OKLAHOMA,MUMPS,1,0.04,1968-01-06,1,1968,January
196801,OR,OREGON,MUMPS,15,0.75,1968-01-06,1,1968,January
196801,RI,RHODE ISLAND,MUMPS,80,8.68,1968-01-06,1,1968,January
196801,SC,SOUTH CAROLINA,MUMPS,4,0.16,1968-01-06,1,1968,January
196801,TN,TENNESSEE,MUMPS,17,0.44,1968-01-06,1,1968,January
196801,TX,TEXAS,MUMPS,81,0.75,1968-01-06,1,1968,January
196801,UT,UTAH,MUMPS,2,0.19,1968-01-06,1,1968,January
196801,VA,VIRGINIA,MUMPS,22,0.48,1968-01-06,1,1968,January
196801,VT,VERMONT,MUMPS,77,17.91,1968-01-06,1,1968,January
