week,state,state_name,disease,cases,incidence_per_capita,LastDayWeek,MonthMax,Year,MonthName
196601,AL,ALABAMA,RUBELLA,7,0.2,1966-01-01,1,1966,January
196601,AZ,ARIZONA,RUBELLA,29,1.8,1966-01-01,1,1966,January
196601,CA,CALIFORNIA,RUBELLA,7,0.04,1966-01-01,1,1966,January
196601,CT,CONNECTICUT,RUBELLA,11,0.38,1966-01-01,1,1966,January
196601,HI,HAWAII,RUBELLA,1,0.14,1966-01-01,1,1966,January
196601,IA,IOWA,RUBELLA,6,0.22,1966-01-01,1,1966,January
196601,ID,IDAHO,RUBELLA,1,0.15,1966-01-01,1,1966,January
196601,IL,ILLINOIS,RUBELLA,17,0.16,1966-01-01,1,1966,January
196601,IN,INDIANA,RUBELLA,21,0.42,1966-01-01,1,1966,January
196601,KY,KENTUCKY,RUBELLA,14,0.44,1966-01-01,1,1966,January
196601,MA,MASSACHUSETTS,RUBELLA,10,0.18,1966-01-01,1,1966,January
196601,MD,MARYLAND,RUBELLA,6,0.16,1966-01-01,1,1966,January
196601,ME,MAINE,RUBELLA,4,0.4,1966-01-01,1,1966,January
196601,MI,MICHIGAN,RUBELLA,25,0.29,1966-01-01,1,1966,January
196601,MN,MINNESOTA,RUBELLA,2,0.06,1966-01-01,1,1966,January
196601,MO,MISSOURI,RUBELLA,1,0.02,1966-01-01,1,1966,January
196601,MT,MONTANA,RUBELLA,11,1.56,1966-01-01,1,1966,January
196601,ND,NORTH DAKOTA,RUBELLA,7,1.08,1966-01-01,1,1966,January
196601,NH,NEW HAMPSHIRE,RUBELLA,9,1.32,1966-01-01,1,1966,January
196601,OR,OREGON,RUBELLA,22,1.12,1966-01-01,1,1966,January
196601,PA,PENNSYLVANIA,RUBELLA,1,0.01,1966-01-01,1,1966,January
196601,RI,RHODE ISLAND,RUBELLA,6,0.67,1966-01-01,1,1966,January
196601,SC,SOUTH CAROLINA,RUBELLA,4,0.16,1966-01-01,1,1966,January
196601,TN,TENNESSEE,RUBELLA,23,0.6,1966-01-01,1,1966,January
196601,VA,VIRGINIA,RUBELLA,3,0.07,1966-01-01,1,1966,January
196601,VT,VERMONT,RUBELLA,2,0.48,1966-01-01,1,1966,January
196601,WA,WASHINGTON,RUBELLA,70,2.29,1966-01-01,1,1966,January
196601,WI,WISCONSIN,RUBELLA,40,0.94,1966-01-01,1,1966,January
196601,WV,WEST VIRGINIA,RUBELLA,23,1.3,1966-01-01,1,1966,January
196601,WY,WYOMING,RUBELLA,1,0.31,1966-01-01,1,1966,January
196602,AL,ALABAMA,RUBELLA,1,0.03,1966-01-08,1,1966,January
196602,AZ,ARIZONA,RUBELLA,53,3.28,1966-01-08,1,1966,January
196602,CA,CALIFORNIA,RUBELLA,43,0.23,1966-01-08,1,1966,January
196602,CO,COLORADO,RUBELLA,2,0.1,1966-01-08,1,1966,January
196602,CT,CONNECTICUT,RUBELLA,30,1.03,1966-01-08,1,1966,January
196602,HI,HAWAII,RUBELLA,4,0.56,1966-01-08,1,1966,January
196602,IA,IOWA,RUBELLA,34,1.23,1966-01-08,1,1966,January
196602,ID,IDAHO,RUBELLA,3,0.44,1966-01-08,1,1966,January
196602,IL,ILLINOIS,RUBELLA,81,0.75,1966-01-08,1,1966,January
196602,IN,INDIANA,RUBELLA,57,1.14,1966-01-08,1,1966,January
196602,KY,KENTUCKY,RUBELLA,17,0.54,1966-01-08,1,1966,January
196602,MA,MASSACHUSETTS,RUBELLA,20,0.36,1966-01-08,1,1966,January
196602,MD,MARYLAND,RUBELLA,5,0.14,1966-01-08,1,1966,January
196602,ME,MAINE,RUBELLA,8,0.8,1966-01-08,1,1966,January
196602,MI,MICHIGAN,RUBELLA,53,0.62,1966-01-08,1,1966,January
196602,MN,MINNESOTA,RUBELLA,7,0.19,1966-01-08,1,1966,January
